Filename,Version,BG Th V1,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V2,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V3,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos
F_CYL_OUTR_1_LEN_102.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_112.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_12.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_122.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_132.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_142.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_152.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_162.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_172.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_182.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_192.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_2.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_22.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_32.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_42.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_52.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_62.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_72.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_82.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_1_LEN_92.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
F_CYL_OUTR_10_LEN_102.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_112.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_12.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_122.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_132.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_142.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_152.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_162.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_172.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_182.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_192.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_2.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
F_CYL_OUTR_10_LEN_22.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_32.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_42.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_52.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_62.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_72.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_82.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_10_LEN_92.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
F_CYL_OUTR_11_LEN_102.LOG,1,9.996354,0.060274,10,-16.468122,269.226318,2,9.996354,0.060274,10,-16.468122,269.226318,3,9.996354,0.060274,10,-16.468122,269.226318
F_CYL_OUTR_11_LEN_112.LOG,1,9.99668,0.057525,10,-17.266823,296.17041,2,9.99668,0.057525,10,-17.266823,296.17041,3,9.99668,0.057525,10,-17.266823,296.17041
F_CYL_OUTR_11_LEN_12.LOG,1,9.968532,0.174657,10,-5.360486,26.758194,2,9.968532,0.174657,10,-5.360486,26.758194,3,9.968532,0.174657,10,-5.360486,26.758194
