Filename,main_th,main_th_sd,main_th_min,main_th_max
F_CYL_OUTR_1_LEN_102_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_112_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_12_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_122_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_132_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_142_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_152_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_162_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_172_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_182_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_192_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_2_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_22_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_32_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_42_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_52_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_62_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_72_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_82_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_1_LEN_92_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_10_LEN_102_OVERSAMPLE_SKEL,8.602325267,3.55E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_112_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_12_OVERSAMPLE_SKEL,8.602325267,3.55E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_122_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_132_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_142_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_152_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_162_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_172_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_182_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_192_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_2_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_10_LEN_22_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_32_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_42_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_52_OVERSAMPLE_SKEL,8.602325267,3.55E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_62_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_72_OVERSAMPLE_SKEL,8.602325267,3.55E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_82_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_CYL_OUTR_10_LEN_92_OVERSAMPLE_SKEL,8.602325267,3.55E-15,8.602325267,8.602325267
F_CYL_OUTR_11_LEN_102_OVERSAMPLE_SKEL,9.88948565,0.229504622,3,9.899494937
F_CYL_OUTR_11_LEN_112_OVERSAMPLE_SKEL,9.89040891,0.218682967,3,9.899494937
F_CYL_OUTR_11_LEN_12_OVERSAMPLE_SKEL,9.782400998,0.77694937,3,9.899494937
F_CYL_OUTR_11_LEN_122_OVERSAMPLE_SKEL,9.891176231,0.209260614,3,9.899494937
F_CYL_OUTR_11_LEN_132_OVERSAMPLE_SKEL,9.891824043,0.200959861,3,9.899494937
F_CYL_OUTR_11_LEN_142_OVERSAMPLE_SKEL,9.892378249,0.193574505,3,9.899494937
F_CYL_OUTR_11_LEN_152_OVERSAMPLE_SKEL,9.89285777,0.18694779,3,9.899494937
F_CYL_OUTR_11_LEN_162_OVERSAMPLE_SKEL,9.89327675,0.180958137,3,9.899494937
F_CYL_OUTR_11_LEN_172_OVERSAMPLE_SKEL,9.893645974,0.175509607,3,9.899494937
F_CYL_OUTR_11_LEN_182_OVERSAMPLE_SKEL,9.893973808,0.17052534,3,9.899494937
F_CYL_OUTR_11_LEN_192_OVERSAMPLE_SKEL,9.894266842,0.16594294,3,9.899494937
F_CYL_OUTR_11_LEN_2_OVERSAMPLE_SKEL,1,0,1,1
F_CYL_OUTR_11_LEN_22_OVERSAMPLE_SKEL,9.84599625,0.528395861,3,9.899494937
F_CYL_OUTR_11_LEN_32_OVERSAMPLE_SKEL,9.864825614,0.426130455,3,9.899494937
F_CYL_OUTR_11_LEN_42_OVERSAMPLE_SKEL,9.873851175,0.36680447,3,9.899494937
F_CYL_OUTR_11_LEN_52_OVERSAMPLE_SKEL,9.879148119,0.326897137,3,9.899494937
F_CYL_OUTR_11_LEN_62_OVERSAMPLE_SKEL,9.882631426,0.297701379,3,9.899494937
F_CYL_OUTR_11_LEN_72_OVERSAMPLE_SKEL,9.885096405,0.275148892,3,9.899494937
F_CYL_OUTR_11_LEN_82_OVERSAMPLE_SKEL,9.886932663,0.257050598,3,9.899494937
