Filename,main_th,main_th_sd,main_th_min,main_th_max
F_SPH_OUTR_1_OVERSAMPLE_SKEL,1,0,1,1
F_SPH_OUTR_10_OVERSAMPLE_SKEL,8.602325267,1.78E-15,8.602325267,8.602325267
F_SPH_OUTR_11_OVERSAMPLE_SKEL,9.860702469,0.254933224,8.185352772,9.899494937
F_SPH_OUTR_12_OVERSAMPLE_SKEL,10.32991358,0.137261407,9,10.34408043
F_SPH_OUTR_13_OVERSAMPLE_SKEL,11.38415672,0.41963734,8.185352772,11.44552314
F_SPH_OUTR_14_OVERSAMPLE_SKEL,12.4498996,1.78E-15,12.4498996,12.4498996
F_SPH_OUTR_15_OVERSAMPLE_SKEL,13.31825396,0.53212689,8.185352772,13.37908816
F_SPH_OUTR_16_OVERSAMPLE_SKEL,14.52583905,7.11E-15,14.52583905,14.52583905
F_SPH_OUTR_17_OVERSAMPLE_SKEL,15.57733918,0.135400057,13.92838828,15.58845727
F_SPH_OUTR_18_OVERSAMPLE_SKEL,16.33130407,0.116336661,14.79864859,16.34013464
F_SPH_OUTR_19_OVERSAMPLE_SKEL,17.74823935,3.55E-15,17.74823935,17.74823935
F_SPH_OUTR_2_OVERSAMPLE_SKEL,1,0,1,1
F_SPH_OUTR_20_OVERSAMPLE_SKEL,18.41195264,3.55E-15,18.41195264,18.41195264
F_SPH_OUTR_21_OVERSAMPLE_SKEL,19.66321589,0.164248904,16.09347694,19.67231557
F_SPH_OUTR_22_OVERSAMPLE_SKEL,20.26186399,0.126528547,18.84144368,20.27313493
F_SPH_OUTR_23_OVERSAMPLE_SKEL,21.40665536,0.232764993,16.09347694,21.42428529
F_SPH_OUTR_24_OVERSAMPLE_SKEL,22.32771678,0.124820728,20.85665361,22.3383079
F_SPH_OUTR_25_OVERSAMPLE_SKEL,23.54900268,0.245079499,16.09347694,23.55843798
F_SPH_OUTR_26_OVERSAMPLE_SKEL,24.39104301,0.051768168,22.69361144,24.39262184
F_SPH_OUTR_27_OVERSAMPLE_SKEL,25.49352001,0.375479613,16.55294536,25.51470164
F_SPH_OUTR_28_OVERSAMPLE_SKEL,26.4360698,0.066030109,24.71841419,26.43860813
F_SPH_OUTR_29_OVERSAMPLE_SKEL,27.30137787,0.418841913,16.55294536,27.33130074
F_SPH_OUTR_3_OVERSAMPLE_SKEL,1.732050808,2.22E-16,1.732050808,1.732050808
F_SPH_OUTR_30_OVERSAMPLE_SKEL,28.33532102,0.055549397,26.73948391,28.33725463
F_SPH_OUTR_31_OVERSAMPLE_SKEL,29.42463619,0.435167173,16.55294536,29.44486373
F_SPH_OUTR_32_OVERSAMPLE_SKEL,30.37693612,0.080269596,28.75760769,30.38091506
F_SPH_OUTR_33_OVERSAMPLE_SKEL,31.40301059,0.242892828,24.06241883,31.41655614
F_SPH_OUTR_34_OVERSAMPLE_SKEL,32.28987672,0.092432329,30.77336511,32.29551052
F_SPH_OUTR_35_OVERSAMPLE_SKEL,33.37923534,0.271489725,24.06241883,33.39161571
F_SPH_OUTR_36_OVERSAMPLE_SKEL,34.33067189,0.095408208,32.78719262,34.33656943
F_SPH_OUTR_37_OVERSAMPLE_SKEL,35.36473786,0.084250817,33.86738844,35.36947837
F_SPH_OUTR_38_OVERSAMPLE_SKEL,36.37011035,0.070599617,34.68429039,36.37306696
F_SPH_OUTR_39_OVERSAMPLE_SKEL,37.34306853,0.100523831,35.81898938,37.34969879
F_SPH_OUTR_4_OVERSAMPLE_SKEL,3,0,3,3
F_SPH_OUTR_40_OVERSAMPLE_SKEL,38.40015858,0.094104379,36.81032464,38.40572874
F_SPH_OUTR_41_OVERSAMPLE_SKEL,39.32005738,0.204853466,34.10278581,39.33192088
F_SPH_OUTR_42_OVERSAMPLE_SKEL,40.3336491,0.062794422,38.71692137,40.33608806
F_SPH_OUTR_43_OVERSAMPLE_SKEL,41.40514802,0.124185374,37.98683983,41.41255848
F_SPH_OUTR_44_OVERSAMPLE_SKEL,42.26583392,0.119532349,38.92300091,42.27292278
F_SPH_OUTR_45_OVERSAMPLE_SKEL,43.29476709,0.114118358,39.9374511,43.30127019
F_SPH_OUTR_46_OVERSAMPLE_SKEL,44.39325375,0.06664361,42.74342055,44.39594576
F_SPH_OUTR_47_OVERSAMPLE_SKEL,45.37114857,0.105492266,41.89272013,45.37620522
F_SPH_OUTR_48_OVERSAMPLE_SKEL,46.33036589,0.10966016,42.93017587,46.33573135
F_SPH_OUTR_49_OVERSAMPLE_SKEL,47.35471194,0.108590695,43.8520239,47.36032094
F_SPH_OUTR_5_OVERSAMPLE_SKEL,4.242640687,8.88E-16,4.242640687,4.242640687
F_SPH_OUTR_50_OVERSAMPLE_SKEL,48.27407524,0.097921816,46.7653718,48.28043082
F_SPH_OUTR_6_OVERSAMPLE_SKEL,4.358898944,0,4.358898944,4.358898944
F_SPH_OUTR_7_OVERSAMPLE_SKEL,5.830951895,1.78E-15,5.830951895,5.830951895
F_SPH_OUTR_8_OVERSAMPLE_SKEL,6.557438524,8.88E-16,6.557438524,6.557438524
F_SPH_OUTR_9_OVERSAMPLE_SKEL,7.681145748,1.78E-15,7.681145748,7.681145748
