Filename,Version,BG Th V1,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V2,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V3,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos
H_CYL_OUTR_11_INR_1_LEN_102.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_112.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_12.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_122.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_132.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_142.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_152.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_162.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_172.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_182.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_192.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_2.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
H_CYL_OUTR_11_INR_1_LEN_22.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_32.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_42.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_52.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_62.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_72.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_82.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_1_LEN_92.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_CYL_OUTR_11_INR_6_LEN_102.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_CYL_OUTR_11_INR_6_LEN_112.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_CYL_OUTR_11_INR_6_LEN_12.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_CYL_OUTR_11_INR_6_LEN_122.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_CYL_OUTR_11_INR_6_LEN_132.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_CYL_OUTR_11_INR_6_LEN_142.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_CYL_OUTR_11_INR_6_LEN_152.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_CYL_OUTR_11_INR_6_LEN_162.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_CYL_OUTR_11_INR_6_LEN_172.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_CYL_OUTR_11_INR_6_LEN_182.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_CYL_OUTR_11_INR_6_LEN_192.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_CYL_OUTR_11_INR_6_LEN_2.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
H_CYL_OUTR_11_INR_6_LEN_22.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_CYL_OUTR_11_INR_6_LEN_32.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
