Filename,main_th,main_th_sd,main_th_min,main_th_max
H_CYL_OUTR_11_INR_1_LEN_102_OVERSAMPLE_SKEL,4.998082454,0.061898418,3,5
H_CYL_OUTR_11_INR_1_LEN_112_OVERSAMPLE_SKEL,4.99825784,0.059002419,3,5
H_CYL_OUTR_11_INR_1_LEN_12_OVERSAMPLE_SKEL,4.979591837,0.200997098,3,5
H_CYL_OUTR_11_INR_1_LEN_122_OVERSAMPLE_SKEL,4.998403831,0.056478231,3,5
H_CYL_OUTR_11_INR_1_LEN_132_OVERSAMPLE_SKEL,4.998527246,0.054252549,3,5
H_CYL_OUTR_11_INR_1_LEN_142_OVERSAMPLE_SKEL,4.998632946,0.052270825,3,5
H_CYL_OUTR_11_INR_1_LEN_152_OVERSAMPLE_SKEL,4.99872449,0.050491519,3,5
H_CYL_OUTR_11_INR_1_LEN_162_OVERSAMPLE_SKEL,4.998804543,0.048882363,3,5
H_CYL_OUTR_11_INR_1_LEN_172_OVERSAMPLE_SKEL,4.998875141,0.04741786,3,5
H_CYL_OUTR_11_INR_1_LEN_182_OVERSAMPLE_SKEL,4.998937865,0.046077561,3,5
H_CYL_OUTR_11_INR_1_LEN_192_OVERSAMPLE_SKEL,4.998993964,0.044844847,3,5
H_CYL_OUTR_11_INR_1_LEN_2_OVERSAMPLE_SKEL,1,0,1,1
H_CYL_OUTR_11_INR_1_LEN_22_OVERSAMPLE_SKEL,4.990147783,0.140026309,3,5
H_CYL_OUTR_11_INR_1_LEN_32_OVERSAMPLE_SKEL,4.993506494,0.113775425,3,5
H_CYL_OUTR_11_INR_1_LEN_42_OVERSAMPLE_SKEL,4.995157385,0.098294349,3,5
H_CYL_OUTR_11_INR_1_LEN_52_OVERSAMPLE_SKEL,4.996138996,0.087790093,3,5
H_CYL_OUTR_11_INR_1_LEN_62_OVERSAMPLE_SKEL,4.996789727,0.080063974,3,5
H_CYL_OUTR_11_INR_1_LEN_72_OVERSAMPLE_SKEL,4.997252747,0.074074004,3,5
