Filename,Version,BG Th V1,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V2,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V3,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos
H_SPH_OUTR_10_INR_1_DT_JSW_B1.LOG,1,3,0,3,0,0,2,4,0,4,0,0,3,4,0,4,0,0
H_SPH_OUTR_10_INR_2_DT_JSW_B1.LOG,1,3,0,3,0,0,2,4,0,4,0,0,3,4,0,4,0,0
H_SPH_OUTR_10_INR_3_DT_JSW_B1.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_SPH_OUTR_10_INR_4_DT_JSW_B1.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_SPH_OUTR_10_INR_5_DT_JSW_B1.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
H_SPH_OUTR_10_INR_6_DT_JSW_B1.LOG,1,1,0,1,0,0,2,2.630102,0.483394,3,-0.536914,-1.716082,3,2.630102,0.483394,3,-0.536914,-1.716082
H_SPH_OUTR_10_INR_7_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1.781046,0.414215,2,-1.35257,-0.171081,3,2,0,2,0,0
H_SPH_OUTR_10_INR_8_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_10_INR_9_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_11_INR_1_DT_JSW_B1.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_SPH_OUTR_11_INR_10_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_11_INR_2_DT_JSW_B1.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_SPH_OUTR_11_INR_3_DT_JSW_B1.LOG,1,3,0,3,0,0,2,4,0,4,0,0,3,4,0,4,0,0
H_SPH_OUTR_11_INR_4_DT_JSW_B1.LOG,1,3,0,3,0,0,2,4,0,4,0,0,3,4,0,4,0,0
H_SPH_OUTR_11_INR_5_DT_JSW_B1.LOG,1,2.987842,0.109675,3,-8.882648,77.018501,2,3,0,3,0,0,3,3,0,3,0,0
H_SPH_OUTR_11_INR_6_DT_JSW_B1.LOG,1,2.987616,0.110677,3,-8.797838,75.518875,2,3,0,3,0,0,3,3,0,3,0,0
H_SPH_OUTR_11_INR_7_DT_JSW_B1.LOG,1,1,0,1,0,0,2,2.439286,0.598052,3,-0.542283,-0.62983,3,2.494643,0.500418,3,0.021372,-2.003111
H_SPH_OUTR_11_INR_8_DT_JSW_B1.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
H_SPH_OUTR_11_INR_9_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_12_INR_1_DT_JSW_B1.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_SPH_OUTR_12_INR_10_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_12_INR_11_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_12_INR_2_DT_JSW_B1.LOG,1,5,0,5,0,0,2,5,0,5,0,0,3,5,0,5,0,0
H_SPH_OUTR_12_INR_3_DT_JSW_B1.LOG,1,3,0,3,0,0,2,4,0,4,0,0,3,4,0,4,0,0
H_SPH_OUTR_12_INR_4_DT_JSW_B1.LOG,1,3,0,3,0,0,2,4,0,4,0,0,3,4,0,4,0,0
H_SPH_OUTR_12_INR_5_DT_JSW_B1.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_SPH_OUTR_12_INR_6_DT_JSW_B1.LOG,1,3,0,3,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_SPH_OUTR_12_INR_7_DT_JSW_B1.LOG,1,1,0,1,0,0,2,3,0,3,0,0,3,3,0,3,0,0
H_SPH_OUTR_12_INR_8_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1.987578,0.110847,2,-8.783626,75.268959,3,2,0,2,0,0
H_SPH_OUTR_12_INR_9_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1.950593,0.216931,2,-4.146041,15.219747,3,2,0,2,0,0
H_SPH_OUTR_13_INR_1_DT_JSW_B1.LOG,1,5,0,5,0,0,2,5.979798,0.14075,6,-6.81199,44.440632,3,5.979798,0.14075,6,-6.81199,44.440632
H_SPH_OUTR_13_INR_10_DT_JSW_B1.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
H_SPH_OUTR_13_INR_11_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_13_INR_12_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
H_SPH_OUTR_13_INR_2_DT_JSW_B1.LOG,1,5,0,5,0,0,2,5.979798,0.14075,6,-6.81199,44.440632,3,5.979798,0.14075,6,-6.81199,44.440632
