Filename,main_th,main_th_sd,main_th_min,main_th_max
H_SPH_OUTR_10_INR_1_OVERSAMPLE_SKEL,2.711675193,0.611629278,1.414213562,3
H_SPH_OUTR_10_INR_2_OVERSAMPLE_SKEL,2.711675193,0.611629278,1.414213562,3
H_SPH_OUTR_10_INR_3_OVERSAMPLE_SKEL,2.94369989,0.293445478,1.414213562,3
H_SPH_OUTR_10_INR_4_OVERSAMPLE_SKEL,2.945001626,0.290156602,1.414213562,3
H_SPH_OUTR_10_INR_5_OVERSAMPLE_SKEL,1.379695766,0.114482581,1,1.414213562
H_SPH_OUTR_10_INR_6_OVERSAMPLE_SKEL,1.352244604,0.147743802,1,1.414213562
H_SPH_OUTR_10_INR_7_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_10_INR_8_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_10_INR_9_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_11_INR_1_OVERSAMPLE_SKEL,4.715977312,0.968388257,1.414213562,5
H_SPH_OUTR_11_INR_10_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_11_INR_2_OVERSAMPLE_SKEL,4.715977312,0.968388257,1.414213562,5
H_SPH_OUTR_11_INR_3_OVERSAMPLE_SKEL,3.135120991,0.060575871,3,3.16227766
H_SPH_OUTR_11_INR_4_OVERSAMPLE_SKEL,3.111776314,0.075132246,3,3.16227766
H_SPH_OUTR_11_INR_5_OVERSAMPLE_SKEL,2.489941719,0.702714207,1.414213562,3
H_SPH_OUTR_11_INR_6_OVERSAMPLE_SKEL,2.508569046,0.694242835,1.414213562,3
H_SPH_OUTR_11_INR_7_OVERSAMPLE_SKEL,1.391620095,0.094064104,1,1.414213562
H_SPH_OUTR_11_INR_8_OVERSAMPLE_SKEL,1.185382294,0.205964233,1,1.414213562
H_SPH_OUTR_11_INR_9_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_12_INR_1_OVERSAMPLE_SKEL,4.715977312,0.968388257,1.414213562,5
H_SPH_OUTR_12_INR_10_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_12_INR_11_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_12_INR_2_OVERSAMPLE_SKEL,4.715977312,0.968388257,1.414213562,5
H_SPH_OUTR_12_INR_3_OVERSAMPLE_SKEL,3.230291485,0.119804827,3,3.31662479
H_SPH_OUTR_12_INR_4_OVERSAMPLE_SKEL,3.112846389,0.07468695,3,3.16227766
H_SPH_OUTR_12_INR_5_OVERSAMPLE_SKEL,2.867323101,0.493618984,1.414213562,3.16227766
H_SPH_OUTR_12_INR_6_OVERSAMPLE_SKEL,2.844365578,0.446051284,1.414213562,3
H_SPH_OUTR_12_INR_7_OVERSAMPLE_SKEL,1.394331311,0.088544871,1,1.414213562
H_SPH_OUTR_12_INR_8_OVERSAMPLE_SKEL,1.35284859,0.147148034,1,1.414213562
H_SPH_OUTR_12_INR_9_OVERSAMPLE_SKEL,1.072037141,0.15700131,1,1.414213562
H_SPH_OUTR_13_INR_1_OVERSAMPLE_SKEL,4.77233102,0.874379309,1.414213562,5
H_SPH_OUTR_13_INR_10_OVERSAMPLE_SKEL,1.17561128,0.204697954,1,1.414213562
H_SPH_OUTR_13_INR_11_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_13_INR_12_OVERSAMPLE_SKEL,1,0,1,1
H_SPH_OUTR_13_INR_2_OVERSAMPLE_SKEL,4.77233102,0.874379309,1.414213562,5
