Filename,Version,BG Th V1,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V2,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos,Version,BG Th V3,BG Th.Sd,BG Th.Max,BG Th.Skew,BG Th.Kurtos
PLATE_WIDTH_1_LEN_1_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_11_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_13_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_15_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_17_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_19_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_21_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_23_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_25_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_27_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_29_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_3_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_31_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_33_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_35_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_37_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_39_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_41_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_43_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_45_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_47_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_49_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_5_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_7_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_1_LEN_9_DT_JSW_B1.LOG,1,1,0,1,0,0,2,1,0,1,0,0,3,2,0,2,0,0
PLATE_WIDTH_10_LEN_1_DT_JSW_B1.LOG,1,1,0,1,0,0,2,2,0,2,0,0,3,2,0,2,0,0
PLATE_WIDTH_10_LEN_11_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
PLATE_WIDTH_10_LEN_13_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
PLATE_WIDTH_10_LEN_15_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
PLATE_WIDTH_10_LEN_17_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
PLATE_WIDTH_10_LEN_19_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
PLATE_WIDTH_10_LEN_21_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
PLATE_WIDTH_10_LEN_23_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
PLATE_WIDTH_10_LEN_25_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
PLATE_WIDTH_10_LEN_27_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
PLATE_WIDTH_10_LEN_29_DT_JSW_B1.LOG,1,9,0,9,0,0,2,9,0,9,0,0,3,9,0,9,0,0
PLATE_WIDTH_10_LEN_3_DT_JSW_B1.LOG,1,5,0,5,0,0,2,6,0,6,0,0,3,6,0,6,0,0
