Filename,main_th,main_th_sd,main_th_min,main_th_max
PLATE_WIDTH_1_LEN_1_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_11_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_13_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_15_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_17_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_19_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_21_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_23_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_25_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_27_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_29_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_3_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_31_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_33_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_35_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_37_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_39_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_41_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_43_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_45_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_47_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_49_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_5_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_7_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_1_LEN_9_OVERSAMPLE_SKEL,1,0,1,1
PLATE_WIDTH_10_LEN_1_OVERSAMPLE_SKEL,1,0,1,1
