Scan,DIP2 DICE,DIP2 JACCARD,DIP2 Mean Hausdorff (mm),DIP2 Mean Hausdorff (voxels),DIP2 Max Hausdorff (mm),DIP2 Max Hausdorff (voxels),DIP3 DICE,DIP3 JACCARD,DIP3 Mean Hausdorff (mm),DIP3 Mean Hausdorff (voxels),DIP3 Max Hausdorff (mm),DIP3 Max Hausdorff (voxels),TMC DICE,TMC JACCARD,TMC Mean Hausdorff (mm),TMC Mean Hausdorff (voxels),TMC Max Hausdorff (mm),TMC Max Hausdorff (voxels)
1,0.969669863,0.941125401,0.002829887,0.047,0.648063803,10.677,0.978610034,0.958115966,0.001852857,0.031,0.549654616,9.055,0.977476,0.95594431,0.003574689,0.059,1.27600907,21.022
2,0.959023559,0.921273067,0.003912183,0.064,0.474076466,7.81,0.943678262,0.893362532,0.008779479,0.145,1.133960336,18.681,0.984316196,0.969116759,0.002185151,0.036,1.154872767,19.026
3,0.969692916,0.941168833,0.002858808,0.047,0.493119965,8.124,0.966404191,0.934992367,0.004135585,0.068,1.05135366,17.32,0.978445409,0.957800412,0.003900828,0.064,1.558166666,25.67
4,0.96266518,0.928017803,0.003877395,0.064,0.610008251,10.05,0.979026835,0.958915346,0.001722432,0.028,0.552980735,9.11,0.952485023,0.909280577,0.015694418,0.259,2.267878875,37.362
5,0.966621381,0.935399052,0.003816384,0.063,0.636607621,10.488,0.968063285,0.938103346,0.003221343,0.053,0.753232838,12.409,0.978188735,0.957308624,0.004145722,0.068,1.376130102,22.671
6,0.962762324,0.928198374,0.00441377,0.073,0.750787753,12.369,0.956647399,0.916897507,0.00495523,0.082,0.894148881,14.731,0.987020736,0.974374078,0.002087385,0.034,1.251287646,20.614
7,0.984256478,0.969000989,0.001162105,0.019,0.388654383,6.403,0.989027485,0.978293149,0.000661515,0.011,0.218856782,3.606,0.981419518,0.96351691,0.004599593,0.076,1.597880225,26.324
8,0.966097332,0.934418066,0.003787296,0.062,1.251352194,20.615,0.97812233,0.95718143,0.002398946,0.04,0.809828093,13.341,0.940771921,0.888167467,0.030988942,0.511,2.748948503,45.287
9,0.983554662,0.967641471,0.001363211,0.022,0.588501915,9.695,NaN,NaN,NaN,NaN,NaN,NaN,0.976930646,0.954901681,0.003909595,0.064,1.287628181,21.213
10,0.979914234,0.960619456,0.001493092,0.025,0.522148959,8.602,0.973767892,0.948876853,0.002432519,0.04,1.092535749,17.999,0.955469824,0.91473645,0.013730907,0.226,2.047592855,33.733
11,0.977619005,0.956217898,0.001948755,0.032,0.332464366,5.477,0.986271091,0.972914043,0.000977752,0.016,0.489355675,8.062,0.987296303,0.974911325,0.001928308,0.032,1.343601508,22.135
12,0.969212144,0.940263449,0.003186152,0.052,0.546267875,8.999,0.960938823,0.92481448,0.005236752,0.086,1.656756387,27.294,0.972680406,0.946813836,0.005142009,0.085,1.335386954,22
13,0.981478234,0.963630102,0.001463193,0.024,0.546274371,9,0.979580812,0.959978823,0.001507771,0.025,0.522115942,8.602,0.972830173,0.947097693,0.005344382,0.088,1.314475511,21.655
14,0.978058107,0.957058433,0.001671892,0.028,0.364191334,6,0.986201922,0.972779436,0.00099108,0.016,0.441901545,7.28,0.986277071,0.972925681,0.001592614,0.026,1.08751452,17.916
15,0.975519098,0.952208182,0.002313107,0.038,0.902321902,14.865,0.98445065,0.96937746,0.001258427,0.021,0.466231938,7.681,0.985268578,0.970964884,0.00122641,0.02,1.099211833,18.109
16,0.964507453,0.931447991,0.004152993,0.068,0.648075628,10.677,0.986617437,0.97358833,0.001011152,0.017,0.424899127,7,0.986673073,0.973696689,0.001525397,0.025,1.100963923,18.138
17,0.987430307,0.975172686,0.000971674,0.016,0.374183797,6.164,0.983442217,0.967423823,0.00149359,0.025,0.572606385,9.433,0.98802037,0.976324365,0.002026111,0.033,1.41182239,23.259
18,0.988858419,0.977962371,0.000776582,0.013,0.27144111,4.472,0.990525735,0.981229308,0.000623741,0.01,0.297364852,4.899,0.986791029,0.973926462,0.001592817,0.026,0.928523207,15.297
19,0.983996873,0.968497879,0.000960126,0.016,0.257525655,4.243,0.98729329,0.974905449,0.000992023,0.016,1.432519438,23.6,0.986981811,0.974298212,0.001764586,0.029,1.347713848,22.203
20,0.97724646,0.95550533,0.002367336,0.039,0.713059144,11.747,0.986458271,0.973278398,0.000900777,0.015,0.264568571,4.359,0.986813481,0.973970205,0.00252437,0.042,1.484325269,24.453
