Scan,DIP2 DICE,DIP2 JACCARD,DIP2 Mean Hausdorff (mm),DIP2 Mean Hausdorff (voxels),DIP2 Max Hausdorff (mm),DIP2 Max Hausdorff (voxels),DIP3 DICE,DIP3 JACCARD,DIP3 Mean Hausdorff (mm),DIP3 Mean Hausdorff (voxels),DIP3 Max Hausdorff (mm),DIP3 Max Hausdorff (voxels),TMC DICE,TMC JACCARD,TMC Mean Hausdorff (mm),TMC Mean Hausdorff (voxels),TMC Max Hausdorff (mm),TMC Max Hausdorff (voxels)
1,0.989514874,0.979247343,0.000861088,0.014,1.004742269,16.553,0.98593164,0.972253625,0.001357162,0.022,0.986251829,16.248,0.991351589,0.982851485,0.001051659,0.017,2.437797129,40.161
2,0.987685086,0.975669796,0.00090971,0.015,0.613036125,10.099,0.985884394,0.972161742,0.0012617,0.021,0.689401629,11.358,0.991043561,0.982246133,0.000694055,0.011,1.173866683,19.339
3,0.988414568,0.977094506,0.000793732,0.013,0.559623148,9.219,0.988997273,0.97823403,0.000813319,0.013,0.740932633,12.206,0.988341298,0.976951313,0.001345366,0.022,2.285708894,37.656
4,0.99018185,0.980554617,0.000695561,0.011,0.818859202,13.49,0.989903128,0.980008112,0.000730136,0.012,0.689410991,11.358,0.98725854,0.974837684,0.001821829,0.03,2.212802367,36.455
5,0.991869564,0.983870269,0.000676691,0.011,1.342243768,22.113,0.990618134,0.98141067,0.000716911,0.012,1.092535749,17.999,0.991203595,0.982560593,0.000938383,0.015,1.966810316,32.402
6,0.985736746,0.971874652,0.001137393,0.019,0.800682436,13.191,0.987873299,0.976037187,0.00103206,0.017,0.989965376,16.309,0.989983634,0.980165933,0.001042804,0.017,1.760260202,28.999
7,0.993295798,0.986680891,0.000551116,0.009,0.518604484,8.544,0.994219557,0.988505556,0.00041263,0.007,0.489366255,8.062,0.995930919,0.991894819,0.000611625,0.01,1.409214192,23.216
8,0.995351401,0.990745822,0.000346432,0.006,0.624936168,10.295,0.994809517,0.989672638,0.000365375,0.006,0.91249851,15.033,0.996340776,0.992708234,0.000591295,0.01,2.040415682,33.615
9,0.994739476,0.989534009,0.000333289,0.005,0.353931782,5.831,NaN,NaN,NaN,NaN,NaN,NaN,0.995953178,0.991938978,0.000640496,0.011,2.135644542,35.184
10,0.993641137,0.987362634,0.000470181,0.008,0.645246161,10.63,0.994063008,0.988196096,0.000454488,0.007,0.57263938,9.434,0.995771077,0.99157777,0.000746482,0.012,1.851074413,30.495
11,0.992510366,0.985132087,0.000494329,0.008,0.546291147,9,0.994723623,0.989502635,0.000354666,0.006,0.603953597,9.95,0.996429422,0.99288425,0.000627493,0.01,1.939508425,31.952
12,0.991765944,0.983666379,0.000617771,0.01,0.575838977,9.487,0.99520358,0.990452952,0.00043236,0.007,0.946167434,15.588,0.990675503,0.981523291,0.00082257,0.014,1.291849073,21.283
13,0.992757729,0.985619606,0.000760034,0.013,0.834478512,13.748,0.992968307,0.986034812,0.000715207,0.012,0.798379283,13.153,0.988178953,0.976634115,0.003229674,0.053,2.242516044,36.944
14,0.991967985,0.984063968,0.000751668,0.012,0.585364917,9.644,0.993596977,0.98727543,0.000493965,0.008,0.707863565,11.662,0.995093989,0.990235881,0.000892437,0.015,1.115903139,18.384
15,0.992896103,0.985892425,0.000699351,0.012,0.800682436,13.191,0.992727806,0.985560617,0.000670659,0.011,0.772574122,12.728,0.992866835,0.985834714,0.001726877,0.028,2.014987799,33.196
16,0.994411272,0.988884664,0.000518067,0.009,1.061795347,17.493,0.994649169,0.989355296,0.000395647,0.007,0.670442286,11.045,0.996412473,0.992850595,0.000521118,0.009,1.405256753,23.151
17,0.994876391,0.989805016,0.000317554,0.005,0.359103445,5.916,0.994721015,0.989497472,0.000336216,0.006,0.402618459,6.633,0.997643699,0.995298477,0.000253142,0.004,1.652309338,27.221
18,0.994091256,0.988251929,0.00037989,0.006,0.507846266,8.366,0.994844728,0.989742336,0.000322796,0.005,0.603938052,9.95,0.995754714,0.99154532,0.000359365,0.006,1.512511155,24.918
19,0.993931902,0.987937003,0.000450573,0.007,0.748351399,12.329,0.993940102,0.987953206,0.000436881,0.007,0.733419629,12.083,0.995162343,0.990371266,0.000898239,0.015,1.801648959,29.681
20,0.992928786,0.985956874,0.000468259,0.008,0.489375847,8.062,0.994632782,0.989322871,0.000366389,0.006,0.477945862,7.874,0.996823612,0.993667338,0.000461532,0.008,1.566459744,25.807
